,open,close,high,low,volume,money
2015-01-05,10.69,10.71,10.89,10.43,427806630.0,4565387776.0
2015-01-06,10.6,10.55,10.96,10.4,324009801.0,3453446144.0
2015-01-07,10.4,10.35,10.58,10.23,254269894.0,2634796288.0
2015-01-08,10.36,10.0,10.41,9.96,210537619.0,2128003456.0
2015-01-09,9.96,10.08,10.61,9.84,375171065.0,3835378176.0
2015-01-12,9.94,9.88,10.06,9.7,232310048.0,2293104640.0
2015-01-13,9.8,9.82,9.96,9.77,122171724.0,1204987136.0
2015-01-14,9.88,9.9,10.16,9.83,188898597.0,1889296640.0
2015-01-15,9.93,10.26,10.26,9.84,185778885.0,1868795904.0
2015-01-16,10.3,10.28,10.44,10.15,232692252.0,2403346176.0
2015-01-19,9.37,9.25,9.74,9.25,319628031.0,3016203008.0
2015-01-20,9.25,9.25,9.4,9.07,222996534.0,2064280576.0
2015-01-21,9.28,9.64,9.76,9.19,290225557.0,2758192640.0
2015-01-22,9.59,9.56,9.71,9.47,187700095.0,1801436288.0
2015-01-23,9.6,9.63,9.78,9.56,218235120.0,2108746752.0
2015-01-26,9.6,9.59,9.65,9.47,158175425.0,1508446592.0
2015-01-27,9.59,9.35,9.61,9.25,200334701.0,1881058944.0
2015-01-28,9.27,9.4,9.56,9.23,185585533.0,1742175744.0
2015-01-29,9.24,9.29,9.37,9.19,152065532.0,1408825344.0
2015-01-30,9.31,9.31,9.44,9.2,139108175.0,1298735744.0
2015-02-02,9.09,9.11,9.23,9.06,128760939.0,1176949504.0
2015-02-03,9.21,9.33,9.35,9.11,132113617.0,1217876608.0
2015-02-04,9.36,9.17,9.39,9.16,120788043.0,1122666752.0
2015-02-05,9.56,9.22,9.65,9.2,286217160.0,2710523904.0
2015-02-06,9.15,9.03,9.33,8.96,154107814.0,1411298560.0
2015-02-09,9.03,9.04,9.15,8.84,141571355.0,1273141120.0
2015-02-10,9.02,9.21,9.24,8.97,108412296.0,991823744.0
2015-02-11,9.21,9.18,9.26,9.15,82908466.0,763414592.0
2015-02-12,9.19,9.27,9.29,9.11,91039464.0,838611264.0
2015-02-13,9.31,9.33,9.48,9.25,132770783.0,1244514816.0
2015-02-16,9.33,9.31,9.37,9.18,107862968.0,999898496.0
2015-02-17,9.33,9.35,9.43,9.31,101774264.0,954430208.0
2015-02-25,9.39,9.23,9.39,9.2,86354745.0,799193600.0
2015-02-26,9.23,9.41,9.41,9.09,153380307.0,1424064896.0
2015-02-27,9.4,9.35,9.47,9.33,118686284.0,1115146112.0
2015-03-02,9.38,9.38,9.42,9.27,152371184.0,1423603328.0
2015-03-03,9.35,9.09,9.35,9.09,158455186.0,1457305088.0
2015-03-04,9.11,9.07,9.17,9.03,121887297.0,1108145408.0
2015-03-05,9.03,8.95,9.05,8.89,123926073.0,1109152000.0
2015-03-06,8.94,8.99,9.03,8.93,83312014.0,748959104.0
2015-03-09,9.01,9.46,9.59,8.91,329828017.0,3067985664.0
2015-03-10,9.36,9.21,9.44,9.21,207246104.0,1927581952.0
2015-03-11,9.22,9.27,9.41,9.22,135105569.0,1258356096.0
2015-03-12,9.49,9.76,10.0,9.41,494316043.0,4805590528.0
2015-03-13,9.96,10.02,10.44,9.9,473205841.0,4799934976.0
2015-03-16,10.1,10.3,10.36,9.98,331794550.0,3387198720.0
2015-03-17,10.37,10.3,10.56,10.2,293113786.0,3020408576.0
2015-03-18,10.27,10.37,10.42,10.22,273844296.0,2823982848.0
2015-03-19,10.35,10.16,10.35,10.11,236349578.0,2413982208.0
2015-03-20,10.16,10.24,10.4,10.07,295589374.0,3027315200.0
2015-03-23,10.25,10.32,10.4,10.25,266524116.0,2750596608.0
2015-03-24,10.32,10.26,10.42,10.18,233192835.0,2396553472.0
2015-03-25,10.22,9.97,10.24,9.96,238019815.0,2396613888.0
2015-03-26,9.94,10.1,10.31,9.84,222528926.0,2246003712.0
2015-03-27,10.1,10.08,10.22,9.94,156684779.0,1577607040.0
2015-03-30,10.18,10.47,10.66,10.1,386255488.0,4014724352.0
2015-03-31,10.72,10.53,11.1,10.45,408774665.0,4393135104.0
2015-04-01,10.58,10.67,10.79,10.4,245774269.0,2608976896.0
2015-04-02,10.76,10.56,10.79,10.44,210256925.0,2222670592.0
2015-04-03,10.5,10.6,10.66,10.44,214609692.0,2262844416.0
2015-04-07,10.8,11.24,11.34,10.8,442767982.0,4898119680.0
2015-04-08,11.32,11.98,12.09,11.13,504263141.0,5784459264.0
2015-04-09,12.0,12.04,12.74,11.85,474563079.0,5794632192.0
2015-04-10,12.04,13.24,13.24,11.94,499561504.0,6339649024.0
2015-04-13,13.76,13.39,13.89,13.07,593925356.0,8021096960.0
2015-04-14,13.35,13.19,13.35,13.03,305462743.0,4020209664.0
2015-04-15,13.19,13.48,13.99,13.03,422250774.0,5746875392.0
2015-04-16,13.23,13.76,13.84,13.15,304848964.0,4102824448.0
2015-04-17,14.16,13.7,14.16,13.6,322407462.0,4447332864.0
2015-04-20,13.84,13.19,13.92,13.08,425909761.0,5776437760.0
2015-04-21,13.21,13.4,13.52,12.93,298489799.0,3943356928.0
2015-04-22,13.42,13.72,13.74,13.35,342622569.0,4640335872.0
